FID,IID,SOL,C1,C2,C3,C4
YRI,21,0,-0.120003,0.0285531,0.000335769,-0.026765
YRI,22,0,-0.120621,0.0257752,0.00097528,-0.0259916
YRI,24,0,-0.120198,0.0272672,0.00111103,-0.0272693
YRI,25,0,-0.120377,0.0269538,0.00326035,-0.0272729
YRI,26,0,-0.121369,0.0260475,-5.92918e-05,-0.0284746
YRI,27,0,-0.120747,0.0274462,0.0025209,-0.0256622
YRI,28,0,-0.120792,0.0276383,0.00099473,-0.0259017
YRI,29,0,-0.121275,0.0266704,0.00297715,-0.0264438
YRI,30,0,-0.119856,0.0263031,0.00167058,-0.0253178
YRI,32,0,-0.119888,0.027705,-0.000124532,-0.0253341
YRI,33,0,-0.121061,0.0269093,0.000193299,-0.0267718
YRI,34,0,-0.120867,0.0261733,0.00117814,-0.0243778
YRI,35,0,-0.121653,0.0274969,0.00105269,-0.0267689
YRI,36,0,-0.121799,0.0275405,0.0018538,-0.0260684
YRI,39,0,-0.121604,0.0253473,0.00239392,-0.0258191
YRI,40,0,-0.120874,0.0267613,8.72937e-05,-0.0256952
YRI,42,0,-0.119251,0.026578,0.000750121,-0.0286142
YRI,46,0,-0.121067,0.026255,0.00097796,-0.0283495
YRI,47,0,-0.12086,0.0264604,0.00130244,-0.0259532
YRI,49,0,-0.122442,0.0258584,0.000125236,-0.0278475
YRI,50,0,-0.119466,0.0272039,-0.00040077,-0.0261991
YRI,51,0,-0.12149,0.0270226,0.00230247,-0.0253166
YRI,52,0,-0.120087,0.0270067,0.00101776,-0.0261375
YRI,53,0,-0.119961,0.0289335,0.000732183,-0.0252327
YRI,54,0,-0.120706,0.0266549,-1.22647e-05,-0.025837
YRI,55,0,-0.120306,0.0258011,0.000323981,-0.0264416
YRI,56,0,-0.1218,0.0256573,-0.000146167,-0.0243331
YRI,58,0,-0.121856,0.0262136,0.000366685,-0.0265501
YRI,60,0,-0.120809,0.0277446,0.00227955,-0.0277713
YRI,62,0,-0.118627,0.0266982,0.00240187,-0.0272024
YRI,63,0,-0.118962,0.0266561,0.00171351,-0.0266323
YRI,67,0,-0.121966,0.025905,0.000902078,-0.0271431
YRI,68,0,-0.121359,0.026716,0.00105669,-0.0248365
YRI,69,0,-0.122271,0.0274037,0.0017028,-0.0249144
YRI,71,0,-0.122231,0.0268582,0.0016514,-0.0260143
YRI,72,0,-0.120009,0.0273573,0.00197565,-0.0281284
YRI,73,0,-0.119899,0.0284197,8.10343e-05,-0.0282109
YRI,75,0,-0.120918,0.0255799,0.00118154,-0.0255718
YRI,76,0,-0.119892,0.026741,0.00177285,-0.0273844
YRI,77,0,-0.118238,0.0239316,0.000178036,-0.0240225
YRI,79,0,-0.119935,0.0247371,-0.000191116,-0.0268254
YRI,81,0,-0.120319,0.0268956,0.000744628,-0.0271542
YRI,82,0,-0.119901,0.0261341,0.00208555,-0.0235599
YRI,83,0,-0.120945,0.0256182,0.000559364,-0.0270157
YRI,84,0,-0.120668,0.0267446,0.00158757,-0.0266132
YRI,85,0,-0.119382,0.0253156,0.00133373,-0.026175
YRI,86,0,-0.120296,0.0272428,0.00126395,-0.0238793
YRI,87,0,-0.123655,0.0259437,-0.000281611,-0.0275274
YRI,90,0,-0.122029,0.0273021,0.00108749,-0.0272792
YRI,91,0,-0.121089,0.0269159,0.00226806,-0.0248639
YRI,92,0,-0.120777,0.0254295,0.00252633,-0.0260808
YRI,93,0,-0.121074,0.0264402,-0.000356682,-0.0280305
YRI,95,0,-0.119807,0.0280873,0.000369472,-0.0248361
YRI,97,0,-0.120394,0.0274673,0.00301016,-0.024936
YRI,98,0,-0.122787,0.0263175,-7.00241e-05,-0.0261259
YRI,99,0,-0.120176,0.0275421,0.00255478,-0.0268998
YRI,100,0,-0.12063,0.0270367,-0.00175414,-0.0254722
YRI,102,0,-0.120919,0.0271674,0.00126333,-0.0254128
YRI,103,0,-0.119835,0.0273405,0.00137417,-0.0264784
YRI,104,0,-0.12132,0.0256878,0.00205486,-0.026152
YRI,105,0,-0.121293,0.0272307,0.00245453,-0.0273315
YRI,106,0,-0.123007,0.0266339,-0.000645441,-0.0258901
YRI,107,0,-0.120567,0.0270634,0.000708679,-0.0276592
YRI,108,0,-0.120589,0.0262048,-0.000544592,-0.0247699
YRI,111,0,-0.12039,0.0267699,0.00117433,-0.0231065
YRI,112,0,-0.121166,0.0272109,0.000212266,-0.026571
YRI,113,0,-0.121912,0.0265252,-0.000169055,-0.0279049
YRI,114,0,-0.119424,0.0287199,0.00292021,-0.0256374
YRI,115,0,-0.120787,0.0266998,0.00145559,-0.0253999
YRI,116,0,-0.121647,0.0257977,0.000130184,-0.0273079
YRI,119,0,-0.118907,0.0266338,0.00128881,-0.0253842
YRI,121,0,-0.120338,0.0270249,0.00146118,-0.026371
YRI,123,0,-0.12141,0.0267457,7.99199e-05,-0.026225
YRI,124,0,-0.120472,0.0274353,0.000431676,-0.025633
YRI,125,0,-0.121596,0.0275045,0.000530049,-0.0272501
YRI,129,0,-0.120841,0.0251525,0.00140978,-0.0271946
YRI,130,0,-0.11885,0.0243008,0.00050595,-0.0258143
YRI,132,0,-0.121384,0.0247805,0.000834298,-0.0273495
YRI,133,0,-0.120304,0.0270505,0.00181187,-0.0266446
YRI,134,0,-0.12079,0.027158,0.00245431,-0.0270649
YRI,135,0,-0.120052,0.0277112,0.0022266,-0.0248971
YRI,137,0,-0.122292,0.0263839,0.00161642,-0.0264471
YRI,138,0,-0.119264,0.0271882,0.00115406,-0.026103
YRI,139,0,-0.120102,0.0266131,0.00171567,-0.0245956
YRI,141,0,-0.120088,0.0254938,0.00107883,-0.0275865
YRI,142,0,-0.120852,0.0263235,0.0016736,-0.0267795
YRI,143,0,-0.120121,0.0268209,0.00252611,-0.0268078
YRI,144,0,-0.119437,0.0276178,0.00234438,-0.0268531
YRI,146,0,-0.120944,0.0260141,0.000857417,-0.026679
YRI,148,0,-0.119692,0.0268277,0.000570529,-0.0276244
YRI,149,0,-0.120176,0.0276597,0.00180758,-0.0278778
YRI,150,0,-0.118537,0.0261874,0.00213765,-0.0253213
YRI,151,0,-0.121606,0.0268802,0.000939988,-0.0248593
YRI,153,0,-0.121318,0.0260067,-0.000183555,-0.0270341
YRI,155,0,-0.120083,0.0277056,-0.000813648,-0.0256321
YRI,158,0,-0.122125,0.0261585,-0.000726299,-0.0253198
YRI,160,0,-0.118233,0.0264068,-0.000610245,-0.0255463
YRI,161,0,-0.122568,0.0260704,0.0017344,-0.0267128
YRI,162,0,-0.119296,0.0279325,0.00232949,-0.0266424
YRI,163,0,-0.121594,0.0274677,0.00151758,-0.0242551
YRI,165,0,-0.120255,0.0280518,8.35031e-05,-0.027086
YRI,167,0,-0.12231,0.0265418,0.00256324,-0.0256031
